,name,price
307,"TelefonmobilBlubooMaya,DualSIM,5.5-inchHD,Quad-Core,2GBRAM,16GB,13MP,3000mAh,Android6.0,Alb",725
308,"TelefonmobilSamsungGALAXYS6Edge,32GB,4G,Green",2.449
309,"TelefonmobilSamsungGalaxyJ7(2016),16GB,4G,Black",1.376
310,"TelefonmobilAllviewP9EnergyMini,DualSIM,16GB,4G,DarkGold",949
311,"TelefonmobilMyPhoneHalo2,Black",158
312,"TelefonmobilSamsungGalaxyA3(2016),16GB,4G,White",1.099
313,"TelefonmobilZTEBladeV7Lite,DualSim,8GB,4G,Grey",699
314,"TelefonmobilAlcatel1035,DualSim,DarkGrey",139
315,"TelefonmobilAllviewV2ViperX,DualSIM,16GB,4G,White",949
316,"TelefonmobilAlcatelPop4Plus(5.5),DualSim,16GB,4G,MetalSilver",689
317,"TelefonmobilLenovoA7020K5Note,DualSIM,32GB,4G,Gold",1.457
318,"TelefonmobilElephoneS7,DualSIM,4G+,Deca-CoreX20,4GBRAM,64GB,Android6.0,Negru(includeHusaSilicon)",1.599
319,"TelefonmobiliHuntPatriotx33,IP68,DualSIM,32GB,Android6.0,Negru",1.499
320,"TelefonmobilHomTomHT17,4G,DualSIM,5.5-inchHD,8GB,Fingerprint,Android6.0,3000mAh,White(includeFoliesiHusaSilicon)",625
321,"TelefonmobilAllviewP6Lite,DualSIM,8GB,Gold",449
322,"TelefonmobilHtcDesire530,16GB,4G,DarkGrey",737
323,"TelefonmobilSamsungGALAXYS7Edge,DualSim,32GB,4G,Black",3.050
324,"TelefonmobilHTCDesire620G,DualSim,8GB,Grey",789
325,"TelefonmobilMyPhoneHalo2,Red",158
326,"TelefonmobilBlackviewBV6000,4G+,DualSIM,4.7-inchHD,Octa-CoreHelioP10,3GBRAM,32GB,13MP,4500mAh,Android6.0,Verde,IP68",1.599
327,"TelefonmobilBLUStudioG,DualSim,8GB,Grey",469
328,"TelefonmobilMicrosoft435Lumia,DualSIM,8GB,White",349
329,"TelefonmobilMeizuMetal,DualSim,16GB,4G,Blue",849
